,scientificName,decimalLatitude,decimalLongitude
164,Nyssomyia antunesi,-1.7464,-47.0594
165,Nyssomyia antunesi,4.986,-72.6035
166,Nyssomyia antunesi,5.0167,-72.76
167,Pintomyia (Pintomyia) pessoai,-34.2116,-57.8917
168,Pintomyia (Pintomyia) pessoai,-27.4702,-58.832
169,Pintomyia (Pintomyia) pessoai,-24.7428,-50.0758
170,Pintomyia (Pintomyia) pessoai,-23.8128,-50.1389
171,Pintomyia (Pintomyia) pessoai,-23.7928,-50.0558
172,Pintomyia (Pintomyia) pessoai,-23.7778,-49.95
173,Pintomyia (Pintomyia) pessoai,-22.9142,-50.4102
174,Pintomyia (Pintomyia) pessoai,-22.5288,-52.2976
175,Pintomyia (Pintomyia) pessoai,-22.1,-46.4333
176,Psathyromyia (Psathyromyia) lanei,-34.2116,-57.8917
177,Psathyromyia (Psathyromyia) lanei,-22.9464,-43.0147
178,Psathyromyia (Psathyromyia) lanei,-19.5706,-42.5683
179,Psychodopygus amazonensis,-3.1019,-60.025
180,Psychodopygus amazonensis,-2.4431,-54.7083
181,Psychodopygus amazonensis,0.7133,-51.4133
182,Psychodopygus amazonensis,1.8161,-61.1281
183,Psychodopygus claustrei,-20.4699,-54.6237
184,Psychodopygus claustrei,-7.2586,-64.7981
185,Psychodopygus claustrei,-6.8925,-66.2011
186,Psychodopygus claustrei,-5.6283,-63.1833
187,Psychodopygus claustrei,-3.1019,-60.025
188,Psychodopygus claustrei,-2.635,-44.1481
189,Psychodopygus claustrei,0.7781,-51.9436
190,Psychodopygus guyanensis,-6.8925,-66.2011
191,Psychodopygus guyanensis,-0.3667,-51.0664
192,Sciopemyia sordellii,-23.28,-54.11
193,Sciopemyia sordellii,-22.61,-53.8
194,Sciopemyia sordellii,-22.54,-55.73
195,Sciopemyia sordellii,-22.23,-53.34
196,Sciopemyia sordellii,-22.22,-54.81
197,Sciopemyia sordellii,-22.11,-56.52
198,Sciopemyia sordellii,-22.1089,-56.5211
199,Sciopemyia sordellii,-21.71,-52.42
200,Sciopemyia sordellii,-21.61,-55.17
201,Sciopemyia sordellii,-21.46,-56.11
202,Sciopemyia sordellii,-21.3,-52.83
203,Sciopemyia sordellii,-21.14,-55.83
204,Sciopemyia sordellii,-20.75,-51.68
205,Sciopemyia sordellii,-20.54,-56.72
206,Sciopemyia sordellii,-20.47,-55.79
207,Sciopemyia sordellii,-20.4699,-54.6237
208,Sciopemyia sordellii,-20.44,-54.65
209,Sciopemyia sordellii,-20.44,-54.86
210,Sciopemyia sordellii,-20.37,-51.42
211,Sciopemyia sordellii,-20.14,-54.4
212,Sciopemyia sordellii,-20.09,-51.09
213,Sciopemyia sordellii,-19.83,-54.83
214,Sciopemyia sordellii,-19.68,-51.19
215,Sciopemyia sordellii,-19.01,-57.65
216,Sciopemyia sordellii,-18.92,-54.84
217,Sciopemyia sordellii,-18.54,-53.13
218,Sciopemyia sordellii,-17.31,-53.22
219,Sciopemyia sordellii,-17.27,-57.07
220,Sciopemyia sordellii,-16.62,-54.47
221,Sciopemyia sordellii,-16.5181,-57.55
222,Sciopemyia sordellii,-16.47,-54.64
223,Sciopemyia sordellii,-16.45,-52.67
224,Sciopemyia sordellii,-16.33,-53.74
225,Sciopemyia sordellii,-16.26,-56.62
226,Sciopemyia sordellii,-16.2,-52.56
227,Sciopemyia sordellii,-16.19,-55.97
228,Sciopemyia sordellii,-16.08,-56.78
229,Sciopemyia sordellii,-16.05,-54.88
230,Sciopemyia sordellii,-15.92,-54.95
231,Sciopemyia sordellii,-15.89,-52.26
232,Sciopemyia sordellii,-15.87,-56.08
233,Sciopemyia sordellii,-15.85,-52.01
234,Sciopemyia sordellii,-15.85,-58.47
235,Sciopemyia sordellii,-15.83,-54.38
236,Sciopemyia sordellii,-15.8,-56.37
237,Sciopemyia sordellii,-15.78,-47.42
238,Sciopemyia sordellii,-15.73,-51.83
239,Sciopemyia sordellii,-15.71,-52.76
240,Sciopemyia sordellii,-15.6,-56.1
241,Sciopemyia sordellii,-15.56,-54.3
242,Sciopemyia sordellii,-15.54,-55.16
243,Sciopemyia sordellii,-15.48,-54.55
244,Sciopemyia sordellii,-15.46,-55.75
245,Sciopemyia sordellii,-15.4,-58.05
246,Sciopemyia sordellii,-15.35,-56.05
247,Sciopemyia sordellii,-15.24,-56.49
248,Sciopemyia sordellii,-15.2,-56.37
249,Sciopemyia sordellii,-15.2,-59.37
250,Sciopemyia sordellii,-15.17,-58.17
251,Sciopemyia sordellii,-15.08,-57.18
252,Sciopemyia sordellii,-15.0,-59.95
253,Sciopemyia sordellii,-14.95,-49.57
254,Sciopemyia sordellii,-14.9,-53.02
255,Sciopemyia sordellii,-14.84,-56.43
256,Sciopemyia sordellii,-14.8,-46.25
257,Sciopemyia sordellii,-14.73,-57.05
258,Sciopemyia sordellii,-14.73,-56.33
259,Sciopemyia sordellii,-14.62,-57.5
260,Sciopemyia sordellii,-14.57,-54.57
261,Sciopemyia sordellii,-14.51,-56.48
262,Sciopemyia sordellii,-14.5,-52.88
263,Sciopemyia sordellii,-14.43,-56.82
